List,List_Date,Title,Author,Weeks_On_List,Rank_This_Week,Publisher,Primary_ISBN_10,Primary_ISBN_13,Description
Combined Print and E-Book Nonfiction,2020-09-13,EDUCATED,Tara Westover,125,10,Random House,0399590501,9780399590504,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university."
Combined Print and E-Book Nonfiction,2020-06-07,SAPIENS,Yuval Noah Harari,106,14,Harper,0062316117,9780062316110,How Homo sapiens became Earth’s dominant species.
Combined Print and E-Book Nonfiction,2020-09-06,BECOMING,Michelle Obama,85,9,Crown,1524763136,9781524763138,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent."
Combined Print and E-Book Nonfiction,2020-09-20,BORN A CRIME,Trevor Noah,72,15,Spiegel & Grau,0399588191,9780399588198,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”
Combined Print and E-Book Nonfiction,2020-09-13,BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,70,9,Spiegel & Grau,0812993543,9780812993547,"Winner of the 2015 National Book Award for nonfiction. A meditation on race in America as well as a personal story, framed as a letter to the author's teenage son."
Combined Print and E-Book Nonfiction,2020-08-02,ALEXANDER HAMILTON,Ron Chernow,64,6,Penguin,0143034758,9780143034759,A biography of the first Treasury secretary. The basis of the Tony Award-winning Broadway musical.
Combined Print and E-Book Nonfiction,2020-09-20,JUST MERCY,Bryan Stevenson,40,14,Spiegel & Grau,081298496X,9780812984965,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.
Combined Print and E-Book Nonfiction,2020-02-16,BAD BLOOD,John Carreyrou,40,13,Knopf,0525431993,9780525431992,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient."
Combined Print and E-Book Nonfiction,2020-04-19,TALKING TO STRANGERS,Malcolm Gladwell,30,15,"Little, Brown",0316478520,9780316478526,Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.
Combined Print and E-Book Nonfiction,2020-04-19,MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,29,14,Houghton Mifflin Harcourt,1328663043,9781328663047,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.
Combined Print and E-Book Nonfiction,2020-09-27,UNTAMED,Glennon Doyle,27,9,Dial,1984801252,9781984801258,The activist and public speaker describes her journey of listening to her inner voice.
Combined Print and E-Book Nonfiction,2020-09-13,THE SPLENDID AND THE VILE,Erik Larson,26,15,Crown,0385348711,9780385348713,An examination of the leadership of the prime minister Winston Churchill.
Combined Print and E-Book Nonfiction,2020-09-27,WHITE FRAGILITY,Robin DiAngelo,25,13,Beacon Press,0807047414,9780807047415,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.
Combined Print and E-Book Nonfiction,2020-08-16,ON TYRANNY,Timothy Snyder,23,3,Tim Duggan,0804190119,9780804190114,Twenty lessons from the 20th century about the course of tyranny.
Combined Print and E-Book Nonfiction,2020-01-19,THE PIONEERS,David McCullough,20,10,Simon & Schuster,None,9781501168697,The Pulitzer Prize-winning historian tells the story of the settling of the Northwest Territory through five main characters.
Combined Print and E-Book Nonfiction,2020-06-07,THE MAMBA MENTALITY,Kobe Bryant,20,13,"Melcher Media/MCD/Farrar, Straus & Giroux",0374201234,9780374201234,Various skills and techniques used on the court by the late Los Angeles Lakers player.
Combined Print and E-Book Nonfiction,2020-09-27,HOW TO BE AN ANTIRACIST,Ibram X Kendi,20,12,One World,0525509283,9780525509288,A primer for creating a more just and equitable society through identifying and opposing racism.
Combined Print and E-Book Nonfiction,2020-05-31,GRIT,Angela Duckworth,19,12,Scribner,1501111124,9781501111129,A psychologist argues that passion and perseverance are the keys to success.
Combined Print and E-Book Nonfiction,2020-06-14,GRANT,Ron Chernow,19,11,Penguin Press,052552195X,9780525521952,A biography of the Union general of the Civil War and two-term president of the United States.
Combined Print and E-Book Nonfiction,2020-06-07,THE BODY KEEPS THE SCORE,Bessel van der Kolk,17,12,Penguin,0143127748,9780143127741,"How trauma affects the body and mind, and innovative treatments for recovery."
Combined Print and E-Book Nonfiction,2020-08-16,I'LL BE GONE IN THE DARK,Michelle McNamara,16,13,Harper,0062319795,9780062319791,"The late true-crime journalist's search for the serial murderer and rapist known as ""the Golden State Killer."""
Combined Print and E-Book Nonfiction,2020-06-07,THE LIBRARY BOOK,Susan Orlean,16,10,Simon & Schuster,1476740208,9781476740201,The story of the 1986 fire at the Los Angeles Public Library provides a backdrop to the evolution and purpose of libraries.
Combined Print and E-Book Nonfiction,2020-02-16,THE BODY,Bill Bryson,15,14,Doubleday,0385539304,9780385539302,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong."
Combined Print and E-Book Nonfiction,2020-09-13,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,15,13,Seal,1580058825,9781580058827,A look at the contemporary racial landscape of the United States.
Combined Print and E-Book Nonfiction,2020-04-12,SAY NOTHING,Patrick Radden Keefe,14,15,Doubleday,0307279286,9780307279286,A look at the conflict in Northern Ireland known as the Troubles.
Combined Print and E-Book Nonfiction,2020-01-26,ME,Elton John,13,14,Holt,1250147603,9781250147608,"The multi-award-winning solo artist's first autobiography chronicles his career, relationships and private struggles."
Combined Print and E-Book Nonfiction,2020-01-12,BLOWOUT,Rachel Maddow,13,11,Crown,0525575472,9780525575474,The MSNBC host argues that the global oil and gas industry has weakened democracies and bolstered authoritarians.
Combined Print and E-Book Nonfiction,2020-06-14,THE GREAT INFLUENZA,John M Barry,12,9,Penguin,0143036491,9780143036494,An overview of the 1918 flu epidemic and cautionary tale for similar kinds of large-scale outbreaks.
Combined Print and E-Book Nonfiction,2020-02-16,CATCH AND KILL,Ronan Farrow,11,15,"Little, Brown",0316486639,9780316486637,The Pulitzer Prize-winning reporter details some surveillance and intimidation tactics used to pressure journalists and elude consequences by certain wealthy and connected men.
Combined Print and E-Book Nonfiction,2020-06-14,A WOMAN OF NO IMPORTANCE,Sonia Purnell,11,14,Viking,0735225311,9780735225312,The true story of a Baltimore socialite who joined a spy organization during World War II and became essential to the French Resistance.
Combined Print and E-Book Nonfiction,2020-01-12,THE BOOK OF GUTSY WOMEN,Hillary Rodham Clinton and Chelsea Clinton,10,15,Simon & Schuster,1501178415,9781501178412,Profiles of women from around the world who have blazed trails and challenged the status quo.
Combined Print and E-Book Nonfiction,2020-04-26,OPEN BOOK,Jessica Simpson with Kevin Carr O’Leary,10,14,Dey St.,0062899961,9780062899965,"The singer, actress and fashion designer discloses times of success, trauma and addiction."
Combined Print and E-Book Nonfiction,2020-08-02,ME AND WHITE SUPREMACY,Layla F Saad,9,13,Sourcebooks,1728209803,9781728209807,Ways to understand and possibly counteract white privilege.
Combined Print and E-Book Nonfiction,2020-09-27,TOO MUCH AND NEVER ENOUGH,Mary L Trump,9,10,Simon & Schuster,1982141468,9781982141462,The clinical psychologist gives her assessment of events and patterns inside her family and how they shaped President Trump.
Combined Print and E-Book Nonfiction,2020-05-17,UNORTHODOX,Deborah Feldman,9,13,Simon & Schuster,1439187029,9781439187029,A woman breaks free of the Satmar Hasidic community in Brooklyn in which she was raised.
Combined Print and E-Book Nonfiction,2020-08-23,THE NEW JIM CROW,Michelle Alexander,8,10,New Press,1620971933,9781620971932,"A law professor takes aim at the “war on drugs,” mass incarceration and their impact on Black men."
Combined Print and E-Book Nonfiction,2020-01-12,SAM HOUSTON AND THE ALAMO AVENGERS,Brian Kilmeade,8,5,Sentinel,0525540539,9780525540533,"The ""Fox & Friends” host gives an account of the battle against the Mexican Army in 1836."
Combined Print and E-Book Nonfiction,2020-08-09,STAMPED FROM THE BEGINNING,Ibram X Kendi,8,15,Bold Type,1568585985,9781568585987,Winner of the 2016 National Book Award for nonfiction. A look at anti-Black racist ideas and their effect on the course of American history.
Combined Print and E-Book Nonfiction,2020-01-12,TRIGGERED,Donald Trump Jr,8,12,Center Street,154608603X,9781546086031,Forays into politics and views on liberals from the executive vice president of the Trump Organization.
Combined Print and E-Book Nonfiction,2020-01-12,FINDING CHIKA,Mitch Albom,8,10,Harper,0062952390,9780062952394,Lessons learned by the Alboms when they bring a Haitian orphan with a life-threatening illness into their family.
Combined Print and E-Book Nonfiction,2020-03-22,A VERY STABLE GENIUS,Philip Rucker and Carol Leonnig,7,12,Penguin Press,1984877496,9781984877499,The Pulitzer Prize-winning journalists use firsthand accounts to chart patterns of behavior within the Trump administration.
Combined Print and E-Book Nonfiction,2020-01-05,I HEARD YOU PAINT HOUSES,Charles Brandt,7,8,Steerforth,1586422383,9781586422387,"A World War II veteran works for a crime boss and comes into contact with the union boss Jimmy Hoffa. The basis of the movie ""The Irishman."""
Combined Print and E-Book Nonfiction,2020-08-02,THE COLOR OF LAW,Richard Rothstein,7,9,Liveright,1631494538,9781631494536,An examination of the ways in which the government caused residential segregation through racial zoning and other systemic practices.
Combined Print and E-Book Nonfiction,2020-06-07,HIDDEN VALLEY ROAD,Robert Kolker,7,8,Doubleday,038554376X,9780385543767,"From 1945 to 1965, a family in Colorado had 12 children, six of whom went on to develop schizophrenia."
Combined Print and E-Book Nonfiction,2020-05-31,FORTITUDE,Dan Crenshaw,6,13,Grand Central,1538733307,9781538733301,The Texas congressman and former Navy SEAL prescribes ways to overcome adversity.
Combined Print and E-Book Nonfiction,2020-03-15,PROFILES IN CORRUPTION,Peter Schweizer,6,14,Harper,006289790X,9780062897909,The author of “Clinton Cash” gives his evaluations of members of the Democratic Party.
Combined Print and E-Book Nonfiction,2020-01-26,RANGE,David Epstein,6,10,Riverhead,0735214484,9780735214484,"An argument for how generalists excel more than specialists, especially in complex and unpredictable fields."
Combined Print and E-Book Nonfiction,2020-01-12,A WARNING,Anonymous,6,8,Twelve,1538718464,9781538718469,A senior official in the Trump administration offers an assessment of the president and makes a moral appeal.
Combined Print and E-Book Nonfiction,2020-09-27,CASTE,Isabel Wilkerson,6,4,Random House,0593230256,9780593230251,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.
Combined Print and E-Book Nonfiction,2020-08-16,THE ROOM WHERE IT HAPPENED,John Bolton,6,9,Simon & Schuster,1982148039,9781982148034,The former national security advisor gives his account of the 17 months he spent working for President Trump.
Combined Print and E-Book Nonfiction,2020-09-27,LIVE FREE OR DIE,Sean Hannity,6,6,Threshold Editions,1982149973,9781982149970,The Fox News host offers his assessment on what is at stake in the 2020 election.
Combined Print and E-Book Nonfiction,2020-09-13,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,5,12,Vintage,0679763880,9780679763888,"An account of the Great Migration of 1915-70, in which nearly six million African-Americans abandoned the South."
Combined Print and E-Book Nonfiction,2020-08-30,THE TRUTHS WE HOLD,Kamala Harris,5,9,Penguin,0525560734,9780525560739,A memoir by the daughter of immigrants who is now a California senator and the 2020 Democratic candidate for vice president.
Combined Print and E-Book Nonfiction,2020-08-16,BEGIN AGAIN,Eddie S Glaude Jr,5,7,Crown,0525575324,9780525575320,An appraisal of the life and work of James Baldwin and their meaning in relation to the Black Lives Matter movement and the Trump presidency.
Combined Print and E-Book Nonfiction,2020-05-17,FRONT ROW AT THE TRUMP SHOW,Jonathan Karl,5,10,Dutton,1524745626,9781524745622,The ABC News chief White House correspondent gives his perspective on our current president and describes the shifts within their relationship.
Combined Print and E-Book Nonfiction,2020-05-24,THE HOUSE OF KENNEDY,James Patterson and Cynthia Fagen,4,12,"Little, Brown",0316454486,9780316454483,A look at the achievements of the political family and what has been called “the Kennedy curse.”
Combined Print and E-Book Nonfiction,2020-02-09,WHY WE SLEEP,Matthew Walker,4,15,Scribner,1501144324,9781501144325,A neuroscientist uses recent scientific discoveries to explain the functions of sleep and dreams.
Combined Print and E-Book Nonfiction,2020-06-14,PLAGUE OF CORRUPTION,Judy Mikovits and Kent Heckenlively,4,4,Skyhorse,1510752242,9781510752245,The controversial virologist gives her account of her work over nearly four decades.
Combined Print and E-Book Nonfiction,2020-01-05,HOW TO,Randall Munroe,3,14,Riverhead,0525537090,9780525537090,The former NASA roboticist dispenses complex and excessive solutions to common problems.
Combined Print and E-Book Nonfiction,2020-09-27,HOAX,Brian Stelter,3,11,One Signal/Atria,1982142448,9781982142445,The CNN anchor and chief media correspondent examines the inner workings of Fox News and its relationship with President Trump.
Combined Print and E-Book Nonfiction,2020-08-23,HOW TO DESTROY AMERICA IN THREE EASY STEPS,Ben Shapiro,3,11,Broadside,006300187X,9780063001879,"The conservative commentator describes what he perceives as threats to American history, ideals and culture."
Combined Print and E-Book Nonfiction,2020-04-05,JOHN ADAMS UNDER FIRE,Dan Abrams and David Fisher,3,15,Hanover Square,1335015922,9781335015921,How the man who became the second president served as the defense lawyer for the British soldiers who stood accused in the Boston Massacre in 1770.
Combined Print and E-Book Nonfiction,2020-09-06,IT WAS ALL A LIE,Stuart Stevens,3,14,Knopf,0525658459,9780525658450,The former political campaign strategist evaluates the changes within the Republican Party in the last half-century.
Combined Print and E-Book Nonfiction,2020-01-19,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,3,9,Simon & Schuster,1501134647,9781501134647,"An account of the 1986 disaster at the Chernobyl nuclear power plant, based on hundreds of hours of interviews."
Combined Print and E-Book Nonfiction,2020-05-17,MORE MYSELF,Alicia Keys with Michelle Burford,3,14,Flatiron,1250153298,9781250153296,The Grammy Award-winning musician retraces her path to discovering her own worth.
Combined Print and E-Book Nonfiction,2020-09-06,THE ANSWER IS ...,Alex Trebek,3,10,Simon & Schuster,1982157992,9781982157999,Who is the Canadian-American game show host whose pronunciation of the word “genre” has been shared widely on social media?
Combined Print and E-Book Nonfiction,2020-04-12,THE GIFT OF FORGIVENESS,Katherine Schwarzenegger Pratt,3,11,Pamela Dorman,1984878255,9781984878250,"Stories, interviews and reflections on the act of letting go of resentment."
Combined Print and E-Book Nonfiction,2020-03-01,WHY WE'RE POLARIZED,Ezra Klein,3,9,Avid Reader,147670032X,9781476700328,The editor at large and co-founder of Vox offers his take on what causes divisions in America.
Combined Print and E-Book Nonfiction,2020-07-05,WHY ARE ALL THE BLACK KIDS SITTING TOGETHER IN THE CAFETERIA?,Beverly Daniel Tatum,3,7,Basic,0465060684,9780465060689,The president emerita of Spelman College examines whether self-segregation is a problem or a coping strategy.
Combined Print and E-Book Nonfiction,2020-07-12,COUNTDOWN 1945,Chris Wallace with Mitch Weiss,3,11,Avid Reader,1982143347,9781982143343,The Fox News Sunday anchor gives an account of the key people involved in and events leading up to America’s attack on Hiroshima in 1945.
Combined Print and E-Book Nonfiction,2020-05-31,THE LINCOLN CONSPIRACY,Brad Meltzer and Josh Mensch,2,10,Flatiron,1250317479,9781250317476,"How Allan Pinkerton, along with undercover agents, thwarted a lesser-known assassination attempt of Abraham Lincoln in Baltimore in 1861."
Combined Print and E-Book Nonfiction,2020-09-20,HIS TRUTH IS MARCHING ON,Jon Meacham,2,10,Random House,1984855026,9781984855022,"The Pulitzer Prize-winning biographer creates a portrait of Representative John Lewis, the late civil rights leader and congressman for Georgia’s Fifth Congressional District."
Combined Print and E-Book Nonfiction,2020-03-15,UNTIL THE END OF TIME,Brian Greene,2,12,Knopf,1524731676,9781524731670,"A physicist gives an overview of how we got here, where we are and directions we might go."
Combined Print and E-Book Nonfiction,2020-09-06,FINDING FREEDOM,Omid Scobie and Carolyn Durand,2,11,Dey St.,0063046105,9780063046108,The Duke and Duchess of Sussex’s journey from courtship to their decision to step away from their royal lives.
Combined Print and E-Book Nonfiction,2020-03-22,UNKNOWN VALOR,Martha MacCallum,2,3,Harper,0062853856,9780062853851,The Fox News anchor weaves stories of combat veterans who fought during World War II.
Combined Print and E-Book Nonfiction,2020-03-01,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,2,15,Convergent,1524761400,9781524761400,"The son of conservative Christians cycles from Oregon to Patagonia, reconciling his sexuality with his upbringing."
Combined Print and E-Book Nonfiction,2020-02-09,TIGHTROPE,Nicholas D Kristof and Sheryl WuDunn,2,13,Knopf,0525655085,9780525655084,The Pulitzer Prize-winning authors examine issues affecting working-class Americans.
Combined Print and E-Book Nonfiction,2020-07-05,I'M STILL HERE,Austin Channing Brown,2,11,Convergent,1524760854,9781524760854,A black woman who was given a white man's name by her parents shares her journey to finding her own worth and what stands in the way of racial justice.
Combined Print and E-Book Nonfiction,2020-02-09,RUNNING AGAINST THE DEVIL,Rick Wilson,2,14,Crown Forum,0593137582,9780593137581,The Republican strategist offers his insights on how to potentially defeat President Trump in the upcoming election.
Combined Print and E-Book Nonfiction,2020-03-22,THE HOPE OF GLORY,Jon Meacham,2,9,Convergent,0593236661,9780593236666,The Pulitzer Prize-winning biographer delves into the seven last sayings of Jesus as recorded in the Gospels.
Combined Print and E-Book Nonfiction,2020-01-12,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,2,9,Penguin,014313356X,9780143133568,"Speeches by the Swedish climate activist, including her address to the United Nations."
Combined Print and E-Book Nonfiction,2020-01-05,MOBITUARIES,Mo Rocca and Jonathan Greenberg,2,9,Simon & Schuster,1501197622,9781501197628,The humorist spotlights frequently unnoticed aspects of deceased celebrities and historical figures.
Combined Print and E-Book Nonfiction,2020-03-22,DARK TOWERS,David Enrich,2,15,Custom House,0062878816,9780062878816,The New York Times finance editor traces the history and illicit dealings of Deutsche Bank.
