List,List_Date,Title,Author,Weeks_On_List,Rank_This_Week,Publisher,Primary_ISBN_10,Primary_ISBN_13,Description
Combined Print and E-Book Fiction,2020-07-05,IF IT BLEEDS,Stephen King,9,13,Scribner,1982137975,9781982137977,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”"
Combined Print and E-Book Fiction,2020-07-12,WALK THE WIRE,David Baldacci,9,6,Grand Central,1538761505,9781538761502,The sixth book in the Memory Man series. Decker and Jamison investigate a murder in a North Dakota town in a fracking boom.
Combined Print and E-Book Fiction,2020-03-15,THE LAST WISH,Andrzej Sapkowski,9,7,Orbit,0316055085,9780316055086,"Linked stories follow the exploits of Geralt of Rivia, a monster-slaying mercenary."
Combined Print and E-Book Fiction,2020-01-12,THE WATER DANCER,Ta-Nehisi Coates,9,14,One World,0399590595,9780399590597,A young man who was gifted with a mysterious power becomes part of a war between slavers and the enslaved.
Combined Print and E-Book Fiction,2020-02-16,A MINUTE TO MIDNIGHT,David Baldacci,8,5,Grand Central,None,9781538761625,"When Atlee Pine returns to her hometown to investigate her sister’s kidnapping from 30 years ago, she winds up tracking a potential serial killer."
Combined Print and E-Book Fiction,2020-01-05,"OLIVE, AGAIN",Elizabeth Strout,8,14,Random House,0812996542,9780812996548,"In a follow-up to the Pulitzer Prize-winning novel “Olive Kitteridge,” new relationships, including a second marriage, are encountered in a seaside town in Maine."
Combined Print and E-Book Fiction,2020-03-01,CRISS CROSS,James Patterson,7,15,"Little, Brown",0316457140,9780316457149,The 27th book in the Alex Cross series. Copycat crimes make the detective question whether an innocent man was executed.
Combined Print and E-Book Fiction,2020-07-19,THE NICKEL BOYS,Colson Whitehead,7,11,Doubleday,0345804341,9780345804341,Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.
Combined Print and E-Book Fiction,2020-01-12,THE NIGHT FIRE,Michael Connelly,7,5,"Little, Brown",None,9780316457484,Harry Bosch and Renée Ballard return to take up a case that held the attention of Bosch’s mentor.
Combined Print and E-Book Fiction,2020-05-10,THE BOY FROM THE WOODS,Harlan Coben,6,13,Grand Central,1538748142,9781538748145,"When a girl goes missing, a private investigator’s feral childhood becomes an asset in the search."
Combined Print and E-Book Fiction,2020-09-06,THE ORDER,Daniel Silva,6,11,Harper,0062834843,9780062834843,The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.
Combined Print and E-Book Fiction,2020-08-02,THE SUMMER HOUSE,James Patterson and Brendan DuBois,6,15,"Little, Brown",0316539554,9780316539555,"Jeremiah Cook, a veteran and former N.Y.P.D. cop, investigates a mass murder near a lake in Georgia."
Combined Print and E-Book Fiction,2020-01-05,THE OVERSTORY,Richard Powers,6,13,Norton,039335668X,9780393356687,Winner of the 2019 Pulitzer Prize for fiction. Nine people drawn to trees for different reasons fight for the last of the remaining acres of virgin forest.
Combined Print and E-Book Fiction,2020-05-10,IN FIVE YEARS,Rebecca Serle,6,12,Atria,1982137460,9781982137465,A Manhattan lawyer finds herself confronting a vision she had when elements of it come to life on schedule.
Combined Print and E-Book Fiction,2020-01-05,TWISTED TWENTY-SIX,Janet Evanovich,6,9,Putnam,0399180192,9780399180194,The 26th book in the Stephanie Plum series. A New Jersey gangster’s associates go after a bounty hunter’s widowed grandmother.
Combined Print and E-Book Fiction,2020-06-28,BIG SUMMER,Jennifer Weiner,6,12,Atria,None,9781501133534,Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.
Combined Print and E-Book Fiction,2020-06-21,ALL ADULTS HERE,Emma Straub,5,15,Riverhead,1594634696,9781594634697,A repressed memory triggers Astrid Strick to weigh the outcomes of her parenting of her now-grown children.
Combined Print and E-Book Fiction,2020-07-12,HIDEAWAY,Nora Roberts,5,14,St. Martin's,125020710X,9781250207104,"A child star escapes her abductors, gathers herself in western Ireland and returns to Hollywood."
Combined Print and E-Book Fiction,2020-08-16,GOLDEN IN DEATH,JD Robb,5,11,St. Martin's,1250207223,9781250207227,The 50th book of the In Death series. Eve Dallas seeks the sender of packages that give off toxic airborne fumes.
Combined Print and E-Book Fiction,2020-09-06,NEAR DARK,Brad Thor,5,15,Emily Bestler/Atria,1982104066,9781982104061,"The 19th book in the Scot Harvath series. With a bounty on his head, Harvath makes an alliance with a Norwegian intelligence operative."
Combined Print and E-Book Fiction,2020-07-12,FAIR WARNING,Michael Connelly,5,11,Little Brown,0316539422,9780316539425,The third book in the Jack McEvoy series. A reporter tracks a killer who uses genetic data to pick his victims.
Combined Print and E-Book Fiction,2020-02-23,DEAR EDWARD,Ann Napolitano,5,13,Dial,1984854798,9781984854797,A 12-year-old boy tries to start over after becoming the sole survivor of a plane crash in which he lost his immediate family.
Combined Print and E-Book Fiction,2020-04-05,BLINDSIDE,James Patterson and James O Born,4,11,"Little, Brown",0316420336,9780316420334,The 12th book in the Michael Bennett series. A serial-killing spree might impact national security.
Combined Print and E-Book Fiction,2020-05-03,THE GLASS HOTEL,Emily St John Mandel,4,14,Knopf,0525521143,9780525521143,"Years after an international Ponzi scheme falls apart, one of its victims investigates the disappearance of a woman from a container ship."
Combined Print and E-Book Fiction,2020-06-14,THE 20TH VICTIM,James Patterson and Maxine Paetro,4,14,Little Brown,031642028X,9780316420280,The 20th book in the Women’s Murder Club series. Lindsay Boxer looks into the murders of disreputable persons in three separate cities.
Combined Print and E-Book Fiction,2020-08-09,SEX AND VANITY,Kevin Kwan,4,15,Doubleday,038554720X,9780385546270,A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.
Combined Print and E-Book Fiction,2020-01-19,DAISY JONES & THE SIX,Taylor Jenkins Reid,4,8,Ballantine,1524798630,9781524798635,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
Combined Print and E-Book Fiction,2020-04-19,THE MIRROR & THE LIGHT,Hilary Mantel,4,13,Holt,0805096604,9780805096606,"The third book in the Wolf Hall trilogy. After Anne Boleyn’s execution, Thomas Cromwell’s enemies assemble."
Combined Print and E-Book Fiction,2020-02-23,LOST,James Patterson and James O Born,4,15,"Little, Brown",0316420328,9780316420327,The new head of an F.B.I. task force takes on a crime syndicate run by a pair of Russian nationals.
Combined Print and E-Book Fiction,2020-04-12,LONG RANGE,CJ Box,4,14,Putnam,0525538232,9780525538233,The 20th book in the Joe Pickett series. A grizzly bear attack and an attempted assassination of a local judge baffle the Wyoming game warden.
Combined Print and E-Book Fiction,2020-09-06,1ST CASE,James Patterson and Chris Tebbetts,4,12,"Little, Brown",0316418188,9780316418188,"After getting kicked out of M.I.T., Angela Hoot interns with the F.B.I. and tracks the murderous siblings known as the Poet and the Engineer."
Combined Print and E-Book Fiction,2020-09-27,SQUEEZE ME,Carl Hiaasen,3,10,Knopf,1524733458,9781524733452,"A dead dowager, hungry pythons and occupants of the winter White House shake up the Palm Beach charity ball season."
Combined Print and E-Book Fiction,2020-02-09,LONG BRIGHT RIVER,Liz Moore,3,12,Riverhead,None,9780525540694,Mickey risks her job with the Philadelphia police force by going after a murderer and searching for her missing sister.
Combined Print and E-Book Fiction,2020-05-24,THE BOOK OF LONGINGS,Sue Monk Kidd,3,15,Viking,052542976X,9780525429760,A scholarly young woman named Ana meets an 18-year-old Jesus and becomes caught up in a confluence of dangers.
Combined Print and E-Book Fiction,2020-05-17,MASKED PREY,John Sandford,3,10,Putnam,0525539522,9780525539520,The 30th book in the Prey series. Washington politicians ask Lucas Davenport to look into someone who is targeting their children.
Combined Print and E-Book Fiction,2020-03-08,A LONG PETAL OF THE SEA,Isabel Allende,3,15,Ballantine,198482015X,9781984820150,A young pregnant widow and an Army doctor take a ship to Chile to escape the aftermath of the Spanish Civil War.
Combined Print and E-Book Fiction,2020-09-20,ROYAL,Danielle Steel,3,12,Delacorte,0399179658,9780399179655,"In 1943, the 17-year-old Princess Charlotte assumes a new identity in the country and falls in love."
Combined Print and E-Book Fiction,2020-09-27,THICK AS THIEVES,Sandra Brown,3,12,Grand Central,1538751941,9781538751947,Arden Maxwell returns home to uncover the truth about her father’s involvement in a heist that went wrong 20 years ago.
Combined Print and E-Book Fiction,2020-02-02,THE WIVES,Tarryn Fisher,3,15,Graydon House,1488054355,9781488054358,A woman discovers something disturbing about her polygamist husband.
Combined Print and E-Book Fiction,2020-09-13,THE MIDWIFE MURDERS,James Patterson and Richard DiLallo,3,14,Grand Central,1538718871,9781538718872,A single mom teams up with an N.Y.P.D. detective to solve a case involving misdeeds at a university hospital.
Combined Print and E-Book Fiction,2020-09-27,THE HARBINGER II,Jonathan Cahn,2,8,FrontLine,1629998915,9781629998916,"Nouriel, Ana Goren and a figure known as ""the prophet"" return as revelations are unlocked."
Combined Print and E-Book Fiction,2020-01-19,BLOOD OF ELVES,Andrzej Sapkowski,2,12,Orbit,0316073717,9780316073714,"The first book in the Witcher series. As war looms, Geralt of Rivia must protect the prophesied savior of the world."
Combined Print and E-Book Fiction,2020-05-03,REDHEAD BY THE SIDE OF THE ROAD,Anne Tyler,2,15,Knopf,0525658424,9780525658429,Micah Mortimer’s orderly existence is thrown off kilter when his partner faces eviction and a teenager claims to be his son.
Combined Print and E-Book Fiction,2020-07-12,TOM CLANCY: FIRING POINT,Mike Maden,2,15,Putnam,0593188063,9780593188064,"When an old friend is killed during the bombing of a Barcelona cafe, Jack Ryan Jr. searches for those responsible."
Combined Print and E-Book Fiction,2020-03-15,CHASING CASSANDRA,Lisa Kleypas,2,15,Avon,0062371940,9780062371942,The sixth book in the Ravenels series. Cassandra teaches a railway magnate a lesson.
Combined Print and E-Book Fiction,2020-03-01,CROOKED RIVER,Douglas Preston and Lincoln Child,2,6,Grand Central,1538747251,9781538747254,The 19th book in the Agent Pendergast series. Human feet inside nondescript shoes wash ashore in Florida.
Combined Print and E-Book Fiction,2020-09-27,THE LYING LIFE OF ADULTS,Elena Ferrante,2,11,Europa Editions,1609455916,9781609455910,"In this coming-of-age story, Giovanna seeks her true reflection in two kindred cities."
Combined Print and E-Book Fiction,2020-02-02,MORAL COMPASS,Danielle Steel,2,11,Delacorte,0399179534,9780399179532,"Shortly after Saint Ambrose Prep goes co-ed, a student is attacked and the community falls apart."
Combined Print and E-Book Fiction,2020-06-07,THE LAST TRIAL,Scott Turow,2,11,Grand Central,None,9781538748084,"An 85-year-old defense lawyer puts off his retirement to aid a Nobel Prize winner in Medicine, who is accused of insider trading, fraud and murder."
Combined Print and E-Book Fiction,2020-08-16,MEXICAN GOTHIC,Silvia Moreno-Garcia,2,15,Del Rey,0525620788,9780525620785,"In 1950s Mexico, a debutante travels to a distant mansion where family secrets of a faded mining empire have been kept hidden."
Combined Print and E-Book Fiction,2020-03-29,THE NUMBERS GAME,Danielle Steel,2,12,Delacorte,0399179569,9780399179563,An affair wrecks a marriage and a daughter seeks to get out from her family’s shadow while old dreams and new love are pursued.
Combined Print and E-Book Fiction,2020-08-30,THE SILENT WIFE,Karin Slaughter,2,15,Morrow,0062858912,9780062858917,The 10th book in the Will Trent series. Investigations of two crimes force Trent to call on his girlfriend's expertise as a medical examiner.
Combined Print and E-Book Fiction,2020-04-05,JOURNEY OF THE PHARAOHS,Clive Cussler and Graham Brown,2,14,Putnam,0593083083,9780593083086,The 17th book of the NUMA Files series. The NUMA squad teams with British MI5 to stop arms dealers from stealing ancient relics.
Combined Print and E-Book Fiction,2020-04-26,EVERYTHING I NEVER TOLD YOU,Celeste Ng,2,9,Penguin,0143127551,9780143127550,"Lydia, bearing the hopes of a Chinese-American family in 1970s Ohio, ends up at the bottom of a lake."
Combined Print and E-Book Fiction,2020-03-29,HOUSE OF EARTH AND BLOOD,Sarah J Maas,2,9,Bloomsbury,1635574048,9781635574043,Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.
Combined Print and E-Book Fiction,2020-09-27,TRANSCENDENT KINGDOM,Yaa Gyasi,2,13,Knopf,0525658181,9780525658184,A Ph.D. candidate in neuroscience looks to the hard sciences and her childhood faith to potentially help her grieving Ghanaian immigrant family.
Combined Print and E-Book Fiction,2020-08-09,PEACE TALKS,Jim Butcher,2,8,Ace,0451464419,9780451464415,The 16th book in the Dresden Files series. Chicago's only professional wizard tries to keep the peace during a summit of the Supernatural nations of the world.
Combined Print and E-Book Fiction,2020-04-26,TEXAS OUTLAW,James Patterson and Andrew Bourelle,2,15,"Little, Brown",0316428167,9780316428163,A Texas Ranger goes to a small town to investigate whether an accidental death was actually a murder.
Combined Print and E-Book Fiction,2020-05-31,THE BOOK OF LOST FRIENDS,Lisa Wingate,2,13,Ballantine,None,9781984819895,The stories of three women struggling to get from Louisiana to Texas during Reconstruction are discovered by a first-year teacher living a century later.
Combined Print and E-Book Fiction,2020-04-26,VALENTINE,Elizabeth Wetmore,2,14,Harper,0062913263,9780062913265,A Texas town on the verge of an oil boom in 1976 becomes divided when a teenage girl is brutally attacked.
Combined Print and E-Book Fiction,2020-09-27,ALL THE DEVILS ARE HERE,Louise Penny,2,4,Minotaur,1250145252,9781250145253,"The 16th book in the Chief Inspector Gamache series. When his billionaire godfather is attacked, Gamache uncovers secrets hidden throughout Paris."
Combined Print and E-Book Fiction,2020-06-28,DANCE AWAY WITH ME,Susan Elizabeth Phillips,1,15,Morrow,0062973045,9780062973047,"Tess Hartsong, a midwife and widow, goes to find peace of mind in the mountains of Tennessee."
Combined Print and E-Book Fiction,2020-02-16,VENDETTA ROAD,Christine Feehan,1,2,Berkley,1984803573,9781984803573,"The third book in the Torpedo Ink series. After a breakup, Soleil meets a man in a Las Vegas biker bar."
Combined Print and E-Book Fiction,2020-09-20,DARK SONG,Christine Feehan,1,3,Berkley,0593099826,9780593099827,The 34th book in the Carpathian series. Will the vampire who held Elisabeta captive get in the way of her bond with Ferro?
Combined Print and E-Book Fiction,2020-02-16,WHEN YOU SEE ME,Lisa Gardner,1,3,Dutton,1524745014,9781524745011,D.D. Warren and Flora Dane join the F.B.I. agent Kimberly Quincy’s taskforce.
Combined Print and E-Book Fiction,2020-07-05,DEACON KING KONG,James McBride,1,11,Riverhead,073521672X,9780735216723,"In 1969, secrets in a South Brooklyn neighborhood are uncovered when a church deacon known as Sportcoat shoots a drug dealer in public."
Combined Print and E-Book Fiction,2020-03-29,A GOOD NEIGHBORHOOD,Therese Anne Fowler,1,8,St. Martin's,1250237270,9781250237279,A property line and a teenage romance strain relations between two North Carolina families.
Combined Print and E-Book Fiction,2020-08-16,DEADLOCK,Catherine Coulter,1,1,Gallery,1501193724,9781501193729,"The 24th book in the F.B.I. Thriller series. A young wife, a psychopath and three red boxes puzzle agents Savich and Sherlock."
Combined Print and E-Book Fiction,2020-08-09,AXIOM'S END,Lindsay Ellis,1,7,St. Martin's,1250256739,9781250256737,Cora Sabino finds herself caught between her estranged whistle-blower father and the extraterrestrials who have been living here for decades.
Combined Print and E-Book Fiction,2020-08-23,THE WOODS,Harlan Coben,1,15,Dutton,None,9781101128671,"When a homicide victim is discovered, a New Jersey prosecutor begins to hope his sister who disappeared 20 years ago may still be alive."
Combined Print and E-Book Fiction,2020-07-26,DESOLATION ROAD,Christine Feehan,1,3,Berkley,0593099753,9780593099759,The fourth book in the Torpedo Ink series. A biker wants to know what a local librarian is hiding.
Combined Print and E-Book Fiction,2020-07-05,DEVOLUTION,Max Brooks,1,12,Del Rey,1984826786,9781984826787,"In the aftermath of Mount Rainier erupting, Kate Holland’s newly discovered journals tell the tale of the creature known as Bigfoot."
Combined Print and E-Book Fiction,2020-09-13,EMERALD BLAZE,Ilona Andrews,1,5,Avon,0062878379,9780062878373,The latest installment in the Hidden Legacy series. Catalina Baylor overcomes heartbreak to team up with Alessandro Sagredo.
Combined Print and E-Book Fiction,2020-04-05,A CONSPIRACY OF BONES,Kathy Reichs,1,10,Scribner,1982138904,9781982138905,The 19th book in the Temperance Brennan series. The forensic anthropologist seeks the identity of a corpse missing its face and hands.
Combined Print and E-Book Fiction,2020-07-26,A BEAUTIFULLY FOOLISH ENDEAVOR,Hank Green,1,6,Dutton,0593183916,9781524743475,Mysterious books hint at what caused the untimely demise of April May and the sudden disappearance of robots known as the Carls.
Combined Print and E-Book Fiction,2020-06-14,WRATH OF POSEIDON,Clive Cussler and Robin Burcell,1,9,Penguin,0593087895,9780593087893,The 12th book in the Sam and Remi Fargo Adventure series. A kingpin is released from prison and a final showdown takes place in Greece.
Combined Print and E-Book Fiction,2020-04-19,FATE,Helen Hardt,1,14,Waterhouse,,9781642632217,The 13th book in the Steel Brothers Saga.
Combined Print and E-Book Fiction,2020-05-10,FIRST COMES SCANDAL,Julia Quinn,1,8,Avon,0062956175,9780062956170,Will Georgiana Bridgerton and Nicholas Rokesby’s unorthodox courtship lead to a marriage of convenience or will they find true love with each other?
Combined Print and E-Book Fiction,2020-07-19,DARING AND THE DUKE,Sarah MacLean,1,15,Avon,0062691996,9780062691996,The third book in the Bareknuckle Bastards series.
Combined Print and E-Book Fiction,2020-06-07,A WEEK AT THE SHORE,Barbara Delinsky,1,15,St. Martin's,1250119502,9781250119506,"After 20 years away, Mallory Aldiss returns to her family's Rhode Island beach home."
Combined Print and E-Book Fiction,2020-08-30,A PRIVATE CATHEDRAL,James Lee Burke,1,4,Simon & Schuster,None,9781982151706,The 23rd book in the Dave Robicheaux series. Rival Louisiana crime families and a time-traveling superhuman assassin bring up Robicheaux’s personal demons.
Combined Print and E-Book Fiction,2020-08-02,A WALK ALONG THE BEACH,Debbie Macomber,1,8,Ballantine,0399181377,9780399181375,"After dealing with loss and setbacks, two sisters take risks on dreams and love."
Combined Print and E-Book Fiction,2020-09-13,TRUTH AND JUSTICE,Fern Michaels,1,11,Zebra,1420146068,9781420146066,The 31st book in the Sisterhood series. A con artist is behind a scheme involving fertility clinics.
Combined Print and E-Book Fiction,2020-01-26,TREASON,Stuart Woods,1,5,Putnam,0593083210,9780593083215,The 52nd book in the Stone Barrington series. Stone is asked to expose a double agent in the State Department.
Combined Print and E-Book Fiction,2020-09-27,ANXIOUS PEOPLE,Fredrik Backman,1,2,Atria,1501160834,9781501160837,A failed bank robber holds a group of strangers hostage at an apartment open house.
Combined Print and E-Book Fiction,2020-08-02,UTOPIA AVENUE,David Mitchell,1,14,Random House,0812997433,9780812997439,The glories and misadventures of a 1960s British band told from several perspectives with cameos by real-life musicians.
Combined Print and E-Book Fiction,2020-03-22,TRACE ELEMENTS,Donna Leon,1,10,Atlantic Monthly,None,9780802148698,The 29th novel in the Commissario Guido Brunetti series. Circumstances around a motorcycle accident reveal that Venice’s water supply might be at risk.
Combined Print and E-Book Fiction,2020-06-14,BOMBSHELL,Stuart Woods and Parnell Hall,1,12,Putnam,059308327X,9780593083277,Gossip and a grudge put Teddy Fay in a tough spot back in Hollywood.
Combined Print and E-Book Fiction,2020-08-02,CAJUN JUSTICE,James Patterson and Tucker Axum,1,12,Grand Central,1538752387,9781538752388,"Cain Lemaire, an ex-Secret Service agent from New Orleans, gets in the thick of things as the head of security for a chief executive in Tokyo."
Combined Print and E-Book Fiction,2020-07-05,AMERICAN DEMON,Kim Harrison,1,8,Ace,059310143X,9780593101438,The 14th book in the Hollows series.
Combined Print and E-Book Fiction,2020-05-17,THE WEDDING DRESS,Danielle Steel,1,6,Delacorte,0399179607,9780399179600,The triumphs and losses of one family over the last century are recounted as a symbolic piece of apparel gets handed down through the generations.
Combined Print and E-Book Fiction,2020-08-30,CHOPPY WATER,Stuart Woods,1,2,Putnam,0593188314,9780593188316,The 54th book in the Stone Barrington series. Things get rough for Stone as he goes after criminals in New York City and Key West.
Combined Print and E-Book Fiction,2020-03-15,COCONUT LAYER CAKE MURDER,Joanne Fluke,1,6,Kensington,None,9781496718914,The bakery owner Hannah Swensen’s sister’s boyfriend is accused of murder.
Combined Print and E-Book Fiction,2020-09-20,THRAWN ASCENDANCY: CHAOS RISING,Timothy Zahn,1,11,Del Rey,0593157680,9780593157688,"In this Star Wars saga, a young military officer is sent to find the unseen enemies who attacked the Chiss capital."
Combined Print and E-Book Fiction,2020-06-28,DADDY'S GIRLS,Danielle Steel,1,2,Delacorte,0399179631,9780399179631,"After a California rancher‘s sudden death, his three daughters discover things they did not know about their father."
Combined Print and E-Book Fiction,2020-02-09,AGENCY,William Gibson,1,9,Berkley,1101986956,9781101986950,"Ainsley Lowbeer can see alternate outcomes for Verity Jane and her digital assistant, who lived in the previous century."
Combined Print and E-Book Fiction,2020-06-07,BEACH READ,Emily Henry,1,12,Berkley,1984806742,9781984806741,A relationship develops between a literary fiction author and a romance novelist as they both try to overcome writer’s block.
Combined Print and E-Book Fiction,2020-07-19,FRIENDS AND STRANGERS,J Courtney Sullivan,1,10,Knopf,0525520597,9780525520597,Complications ensue when a New York journalist downshifts to become a mom in a small town and hires a senior at the local women’s college to babysit.
Combined Print and E-Book Fiction,2020-01-26,HUNTER KILLER,Brad Taylor,1,8,Morrow,0062886045,9780062886040,The 14th book in the Pike Logan series. Pike has a hunch Taskforce is being targeted.
Combined Print and E-Book Fiction,2020-08-23,HARROW THE NINTH,Tamsyn Muir,1,10,Tor.com,1250313201,9781250313201,The second book of the Locked Tomb trilogy. Harrowhark Nonagesimus must overcome her failing health to become an angel of undeath.
Combined Print and E-Book Fiction,2020-05-24,"HELLO, SUMMER",Mary Kay Andrews,1,11,St. Martin's,1250256925,9781250256928,Conley Hawkins loses her big-city beat and takes over the gossip column of her family’s small-town newspaper.
Combined Print and E-Book Fiction,2020-05-03,SAVAGE SON,Jack Carr,1,10,Emily Bestler/Atria,1982123729,9781982123727,The third book in the Terminal List series. The Russian mafia targets a former Navy SEAL who is recovering from brain surgery.
Combined Print and E-Book Fiction,2020-06-21,THE LIES THAT BIND,Emily Giffin,1,4,Ballantine,0399178953,9780399178955,"When the new man in her life disappears on 9/11, the budding reporter Cecily Gardner questions what she knew about him."
Combined Print and E-Book Fiction,2020-05-24,SHADOW FLIGHT,Christine Feehan,1,6,Berkley,059309980X,9780593099803,The fifth book in the Shadow Riders series. Taviano Ferraro steps outside his crime family’s rules to keep Nicoletta Gomez safe.
Combined Print and E-Book Fiction,2020-09-27,SHADOWS IN DEATH,JD Robb,1,1,St. Martin's,125020724X,9781250207241,The 51st book of the In Death series. A hitman with possible connections to Eve Dallas’s husband is seen near the scene of a crime.
Combined Print and E-Book Fiction,2020-04-05,SMOKE BITTEN,Patricia Briggs,1,3,Ace,0440001560,9780440001560,The 12th book in the Mercy Thompson series. The car mechanic who has the ability to turn into a coyote takes on a deadly foe.
Combined Print and E-Book Fiction,2020-09-13,SOMEONE TO ROMANCE,Mary Balogh,1,7,Berkley,1984802402,9781984802408,The seventh book in the Westcott series. Gabriel Thorne’s intention to wed Lady Jessica Archer misses its mark at first.
Combined Print and E-Book Fiction,2020-04-05,STAR WARS: THE RISE OF SKYWALKER,Rae Carson,1,9,Del Rey,0593128400,9780593128404,The Resistance goes on a new adventure as word of the re-emergence of Emperor Palpatine is sent across the galaxy.
Combined Print and E-Book Fiction,2020-04-12,THE LAST ODYSSEY,James Rollins,1,5,Morrow,0062892894,9780062892898,The 15th book in the Sigma Force series. Catastrophic dangers might be set in motion when a medieval ship is discovered in Greenland.
